matrix_version,route_id,provider,offering,adapter_id,protocol,capability,support,action,requires_explicit_degradation,limitations,evidence_digest,code_paths,test_evidence
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,streaming,compatible,transformed,false,,sha256:55ed8b735404e1091509dd837cf9255b6d44f63aa9fbee8d0e253c3e0ce47bf3,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,structured_output,partial,degraded,true,JSON Object only and the prompt must explicitly request JSON,sha256:55ed8b735404e1091509dd837cf9255b6d44f63aa9fbee8d0e253c3e0ce47bf3,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,text_generation,compatible,transformed,false,,sha256:55ed8b735404e1091509dd837cf9255b6d44f63aa9fbee8d0e253c3e0ce47bf3,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,tool_calling,compatible,transformed,false,function tools only; required selection needs exactly one tool,sha256:55ed8b735404e1091509dd837cf9255b6d44f63aa9fbee8d0e253c3e0ce47bf3,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,usage_reporting,compatible,transformed,false,,sha256:55ed8b735404e1091509dd837cf9255b6d44f63aa9fbee8d0e253c3e0ce47bf3,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,video_input,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:55ed8b735404e1091509dd837cf9255b6d44f63aa9fbee8d0e253c3e0ce47bf3,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,vision_input,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:55ed8b735404e1091509dd837cf9255b6d44f63aa9fbee8d0e253c3e0ce47bf3,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,audio_input,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,background_execution,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,batch,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
